Data,Máquina,Horas de Operação do Motor Período (h),Combustível Consumido Período (l),Fator de Carga Médio do Motor Ocioso (%)
24/08/2023,6125,5.95,74.45,0.24
24/08/2023,6126,0.00,0.00,0.00
24/08/2023,6127,1.45,11.74,0.23
24/08/2023,6128,0.00,0.00,0.00
24/08/2023,6129,0.00,0.00,0.00
24/08/2023,6130,0.80,7.98,0.25
24/08/2023,6131,8.00,73.18,0.25
24/08/2023,6132,10.40,98.05,0.28
24/08/2023,6133,0.00,0.00,0.00
24/08/2023,6134,3.80,37.83,0.23
24/08/2023,6137,1.20,6.26,0.28
24/08/2023,6138,9.25,118.76,0.32
